"","company","model","old","fuel","km","price"
"44","기아","K5 2.0 노블레스",115,"가솔린",120000,670
"45","기아","K5 2.4 GDI  노블레스",116,"가솔린",1e+05,720
"46","기아","더 뉴 K5 2.0 LPi  럭셔리",56,"LPG",140000,599
"47","기아","K5 2.0  럭셔리",116,"가솔린",180000,420
"48","기아","K5 2.0 LPi 디럭스",95,"LPG",130000,645
"49","기아","K5 2.0 프레스티지",112,"가솔린",170000,599
"50","기아","더 뉴 K5 2.0 LPi  디럭스",65,"LPG",80000,620
"51","기아","더 뉴 K5 2.0 프레스티지",68,"가솔린",70000,1420
"52","기아","K5 2.0 LPi  스마트",117,"LPG",210000,350
"53","기아","K5",82,"가솔린",90000,1100
"54","기아","K5 2.0  프레스티지",102,"가솔린",90000,590
"55","기아","K5 2.0 디럭스",113,"가솔린",140000,890
"56","기아","더 뉴 K5 2.0 LPi 디럭스",76,"LPG",2e+05,690
"57","기아","K5 2세대 1.7 디젤 SX  프레스티지",50,"디젤",1e+05,970
"58","기아","더 뉴 K5 2세대 2.0 가솔린 인텔리전트",21,"가솔린",10000,2350
"59","기아","K5 2.0 프레스티지",94,"가솔린",40000,1090
"60","기아","K5 2.0 스마트 스페셜",89,"가솔린",120000,610
"61","기아","K5 2세대 1.7 디젤 MX 노블레스",44,"디젤",10000,1380
"62","기아","K5 2세대 1.7 디젤 MX 프레스티지",55,"디젤",80000,1360
"63","기아","K5 2세대 2.0 가솔린 MX  스타일 에디션",33,"가솔린",30000,1580
"64","기아","K5 2.0 LPi 프레스티지",113,"LPG",70000,470
"65","기아","K5 2.0 프레스티지",114,"가솔린",120000,480
"66","기아","K5",103,"LPG",140000,480
"67","기아","K5 2.0 디럭스",108,"가솔린",70000,579
"68","기아","K5 2.0 럭셔리",100,"가솔린",10000,560
"69","기아","더 뉴 K5 터보 노블레스",70,"가솔린",90000,1100
"70","기아","K5 2.0 LPi  스마트",86,"LPG",160000,670
"71","기아","K5 2세대 LPI SX 럭셔리",41,"LPG",60000,1220
"72","기아","더 뉴 K5 터보 노블레스",74,"가솔린",70000,1090
"73","기아","K5 2.0 프레스티지",114,"가솔린",1e+05,699
"74","기아","더 뉴 K5 2.0 트렌디",74,"가솔린",70000,1150
"75","기아","K5 2.0 LPi 디럭스",108,"LPG",270000,320
"76","기아","더 뉴 K5  2.0 LPi 디럭스",69,"LPG",90000,790
"77","기아","K5 2.0  프레스티지",114,"가솔린",70000,420
"78","기아","K5 2.0 LPi  럭셔리",89,"LPG",160000,370
"79","기아","K5 2세대 2.0 가솔린 MX 프레스티지",54,"가솔린",70000,1390
"80","기아","K5 2.0 터보 프레스티지",101,"가솔린",140000,790
"81","기아","K5 2세대 2.0 가솔린 SX 프레스티지",54,"가솔린",70000,1459
"82","기아","K5 2.0 LPi 스마트",83,"LPG",140000,780
"83","기아","K5 2.0 LPi 스마트",105,"LPG",2e+05,560
"84","기아","K5 2.0 럭셔리",116,"가솔린",2e+05,550
"85","기아","K5 2.0  럭셔리",117,"가솔린",1e+05,420
"86","기아","K5 2세대 2.0 가솔린 MX 프레스티지",51,"가솔린",70000,1390
"87","기아","K5 2세대 1.7 디젤 SX 노블레스",55,"디젤",40000,1790
"88","기아","K5 하이브리드 프레스티지 ",86,"가솔린",90000,950
